Name,Short_Name,Price
vathi Rs35,Rs35 வத்தி,35.0
vathi Rs.5,Rs.5 வத்தி,5.0
vathi Rs 20,Rs.20 வத்தி ,20.0
vathi set black Rs.60,Rs.60 செட் ப்ளாக் வத்தி,75.0
vathi set black Rs.5,Rs.5 செட் ப்ளாக் வத்தி,5.0
vathi set black Rs.12,Rs.12 செட் ப்ளாக் வத்தி,12.0
power soap Rs.10(12ps)yellow,Rs.10பவர் சோப்பு(dozen)yellow,120.0
power soap Rs.10(dozen)blue, Rs.10பவர் சோப்பு(dozen)blue,120.0
colgatesalt Rs.20 dazen,colgatesalt Rs.20 dazen,240.0
ujala Rs.10 dazen,Rs.10உஜாலா டசன்,120.0
rubber band 50g,50gரப்பர்பேன்ட்,40.0
oil gems.gold Rs.50,Rs.50 ஜெம்ஸ் கோல்டு ,50.0
santoor Rs.40,Rs.40சந்தூர் சோப்பு,40.0
santoor Rs.10(set4ps),Rs.10 சந்தூர் (set4ps),40.0
rate cake (get out) saram,rate cake (get out) saram,324.0
vicks action 500 (1.attai),விக்ஸ் ஆக்சன் 500 அட்டை,48.0
vicks action 500 (1.BOX),vicks action 500 (1.BOX),550.0
bread (master) Rs.30,Rs.30 bread (master),30.0
bread (master) Rs.25,bread (master) Rs.25,25.0
bun master (5.Pcs)Rs.25,bun master (5.Pcs)Rs.25,25.0
rusk (master)Rs.30,rusk (master)Rs.30,30.0
medimix Rs.45,medimix Rs.45,45.0
avt Rs.5,Rs.5 Avt pkt,5.0
goorej expert (original 1ps,goorej expert (original 1ps,33.0
arial liq(t.l)2.5ltr,ஏரியல் liq(t.l)2.5ltr,490.0
pampers(xl)Rs.35,Rs.35(xl)பேம்பர்ஸ்,35.0
unibic biscuit Rs.10,Rs.10 unibic biscuit ,10.0
unibic biscuit Rs.10 dozen,unibic biscuit Rs.10 dozen,120.0
unibic biscuit Rs.5,Rs.5 unibic biscuit ,5.0
unibic biscuit Rs.5 dozen,Rs.5 unibic biscuit  dozen,60.0
oil ROS 1ltr,oil ROS 1ltr,150.0
amulya paal powder 200g,200g அமுல்யா பால் பவுடர் ,95.0
amul spray 500g,500gஅமுல் ஸ்ப்ரே,215.0
amul spray 200g,200gஅமுல் ஸ்ப்ரே,95.0
nei aachi 100ml,100ml ஆச்சி நெய்,103.0
dermicool sandal 150g Rs.117,150g Rs.117dermicool sandal ,117.0
dermicool lavender 150g,150g dermicool lavender ,125.0
dermicool regular 150g Rs.117,150g Rs.117dermicool regular,117.0
moove ointment Rs.135,Rs.135 moove ointment ,135.0
moove ointment 15g Rs.75,15g Rs.75 moove ointment ,75.0
krack Jack Rs.10,Rs.10 krack Jack ,10.0
krack Jack Rs.35,Rs.35 krack Jack ,35.0
levista coffee 50g premium tin,50g லிவிஸ்டா காபி premium tin,75.0
levista coffee strong50g tin,50g tin லிவிஸ்டா காபி strong,60.0
levista coffee premium 50g pkt,50g pkt லிவிஸ்டா காபி premium,69.0
levista coffee Rs.10,Rs.10 லிவிஸ்டா காபி தூள்,10.0
Fair & lovely 9g saram,Fair & lovely 9g சரம்,120.0
yardley laventer Rs.125,yardley laventer Rs.125,125.0
cd localbrand Rs.10(1k)orange,Rs.10 ஆரஞ்சு கலர் (1k),300.0
cd localbrand Rs.10(1k)black,Rs.10 கருப்பு கலர்  (1k),300.0
panneer soda Rs.10 (1k),Rs.10 panneer sodas (1k),300.0
cd soda Rs.10(1k) ,Rs.10 சோடா (1k),240.0
cd localbrand Rs.10(1k)green,Rs.10 பச்சை கூல் ட்ரிங்க்ஸ் (1k),300.0
bovonto 300ML,300ML போவோன்டொ,20.0
bovonto 300ML (1K),bovonto 300ML (1K),480.0
bovonto 180ML,bovonto 180ML,12.0
bovonto 180ML(1k),bovonto 180ML(1k),360.0
marie gold Rs.10 box,Rs.10மேரி கோல்ட் box,720.0
levista coffee 200g 80%filter,லிவிஸ்டா காபி 200g 80%filter,105.0
levista classic 100g i.coffee,லிவிஸ்டா காபி 100g ins.coffee,180.0
levista classic 50g i.coffee,லிவிஸ்டா classic 50g ins.coffee,99.0
levista coffee Rs.5 saram,Rs.5 levista coffee சரம்,60.0
levista coffee Rs.10 saram,Rs.10 levista coffee சரம்,120.0
nijam pakku rs.0.50paisa 500pspkt,Rs.0.50paisaநிஜாம்பாக்கு500pspkt,250.0
karthika herpal 180g,180g கார்த்திகா ஹெர்பலஂ,55.0
cookoo maha jumbo,குக்கூ கொசுவத்தி,72.0
mysore cake Rs.200 jar ,mysore cake Rs.200 jar ,200.0
pacha karpooram Rs.15 1ps,pacha karpooram Rs.15 1ps,15.0
thani milagai thool 50g saram,50gதனி மிளகாய் தூள் சரம்,500.0
malli thool 5og saram,50g saramமல்லித்தூள்,180.0
sambar podi 50g saram,50g saram சாம்பார் பொடி,280.0
arial RS.10 saram,ஏரியல் பவுடர் RS.10 saram,60.0
mirinda 1.25,mirinda 1.25,60.0
z talc powder 125g,z talc powder 125g,135.0
z spray 150 ml,z spray 150 ml,225.0
bashmathi rice clasic 25kg,25kg clasicபாஸ்மதி ரைஸ்,2500.0
santoor soap Rs.37,Rs.37சந்தூர் சோப்பு,37.0
Rin  liguid ALA 500ml,Rin  liguid ALA 500ml,82.0
ujala Rs.72,Rs.72உஜாலா,72.0
mezhuguvarthi Rs.3pkt,Rs.3pktமெழுகுவர்த்தி,25.0
mezhuvarthi Rs.5 pkt,Rs.5 மெழுகுவர்த்தி pkt ,60.0
mezhuvarthi Rs.10 pkt,Rs.10 மெழுகுவர்த்தி pkt,100.0
badham milk cooldrings,பாதாம் மில்க்,28.0
badham milk cooldrings(1k),(1k)பாதாம் மில்க்,750.0
salt uppu(sowmya(1/2)sippam,1/2தூள்உப்புசௌமியா சிப்பம்,300.0
nei GRP 500ml,500ml GRP நெய்,437.0
lalidha kurunai 25kg sippam,25kgலலிதா குருனை,900.0
lalidha kurunai kg,kg lalidha kurunai ,30.0
vip frush,vip frush,40.0
slv kurunai sippam,slv kurunai sippam,700.0
marie gold Rs.30,Rs.30 மேரி கோல்ட்,30.0
dairymilk Rs.90,Rs.90 டைரிமில்க்,90.0
axe ,axe ,300.0
meen varuval Rs.5,Rs.5 மீன் வருவல்,5.0
kuthiraivali rice 500g,kuthiraivali rice 500g,90.0
daimilk Rs.90 box,daimilk Rs.90 box,1350.0
imali pall Rs.1 jar MRP.125,Rs.125 jarபுளிப்மிட்டாய்imali,125.0
mango ball Rs.125,Rs.125மேங்கோball,125.0
jelly ball Rs.125 jar,jelly ball Rs.125 jar,125.0
carry bag 10*12,carry bag 10*12,25.0
carry bag 13*16,13*16 கேரி பேகஂ medium,20.0
carry bag 17*23 white,carry bag 17*23 white,50.0
meera shampoo Rs.3 saram,Rs.3மீரா ஷாம்பூ சரம்,48.0
meeraa seekkaie Rs.4 saran,Rs.4மீரா சிக்காய் சரம்,60.0
orio Rs.5 box,orio Rs.5 box,160.0
gokul santol Rs.40 powder,gokul santol Rs.40 powder,40.0
gokul santol Rs.225 powder,Rs.225 gokul santol powder,225.0
gokul santol 70g powder,70g கோகுல் சாண்டல் பவுடர்,70.0
mittaiye powder green,மிட்டாய் பவுடர் பச்ச,50.0
mittaiye powder green50g,50gமி.பவுடர் பச்ச,50.0
andhraa naatu ponni pacha,நாட்டுபொன்னிபச்சஆந்த்ரா,1500.0
andhraa naatu ponni pacha.kg,நாட்டுபொன்னிபச்சஆந்த்ரா,60.0
FOGG paradise 65ml Rs.150,FOGG paradise 65ml Rs.150,150.0
FOGG royal 65ml Rs.150,FOGG royal 65ml Rs.150,150.0
FOGG marco 65ml Rs.150,FOGG marco 65ml Rs.150,150.0
FOGG 25ml Rs.80,FOGG 25ml Rs.80,80.0
whitetone  15g Rs.48,whitetone  15g Rs.48,48.0
ossum 25ml Rs.80,ossum 25ml Rs.80,80.0
maithaa naagaa 50kg ,50kg நாகா மைதா,2200.0
maithaa naagaa kg,kgநாகா மைதா,40.0
complan 200jar choco,200g காம்ப்ளான் choco jar,135.0
Egreat perfume Rs.99,Egreat perfume Rs.99,99.0
sukku coffiee rajan 50g,50gராஜன்சுக்கு காப்பி,26.0
sukku mittaiye Rs.1 jar,Rs.1 சுக்குமிட்டாய் jar,100.0
vallarai mittaiye Rs.1 jar,Rs.1 jarவல்லாரை மிட்டாய்,100.0
thulasi mittaiye Rs.1 jar,Rs.1 jarதுளசி மிட்டாய்,100.0
thuthuvalai mittaiye Rs.1 jar, Rs.1jarதூதுவளை மிட்டாய்,100.0
water box 300ml 40ps,300ml 40psவாட்டர் பாக்ஸ்,200.0
water box 500ml 24ps 1box,500ml வாட்டர் 24ps 1பாக்ஸ்,240.0
water 1.ltr 12ps box ,1.ltr வாட்டர் பாக்ஸ்12ps,240.0
water 2ltr 9ps 1box,2ltrவாட்டர் பாக்ஸ்9ps,200.0
puttu maavu 500g(ramanas),500g புட்டுமாவு ரமணாஸ்,45.0
cinthol cool Rs.42,cinthol cool Rs.42,42.0
cinthol lime Rs.38,cinthol lime Rs.38,38.0
mittaiye powder(o&r) 1ps,(o&r)1psமிட்டாய்பவுடர்,3.0
axe spray 150ml Rs.230,Rs.230 axe spray 150ml ,230.0
axe denim powder 100g,100g axe denim powder ,78.0
A2B mixer,A2B mixer,5.0
ravai suji 200g,200g சுஜி ரவை,20.0
ravai suji 200g 5ps ,200g 5ps ரவை சுஜி,75.0
head & shoulder 180ml Rs.220,head & shoulder 180ml Rs.220,220.0
Egreat perfume Rs.40,Egreat perfume Rs.40,40.0
Rin  liguid 500ml,Rin  liguid 500ml,82.0
more milaga Rs.5 atta,Rs.5 மோர்மிளகாஅட்டை,60.0
oil goldwinner 200ml,200ml கோல்ட் வின்னர்,37.0
rasna powder mango Rs.105,Rs.105mangoரஸ்னா பவுடர்,105.0
rasna powder pineapple Rs.85,Rs.85pineappleரஸ்னாபவுடர்,85.0
rasna cover 50ps 1pkt ,ரஸ்னாகவர்50ps.1pkt,150.0
biriyani cup 1box,biriyani cup 1box,400.0
goothrej Rs.25,goothrej Rs.25,25.0
FEVIQUICK Rs.5 .26ps1saram,FEVIQUICK Rs.5 .26ps1சரம்,130.0
p.kasthuri granules Rs.330,ரூ.330 பங்கஜா.கஸ்தூரி ,330.0
p.kasthuri granules Rs.175,ரூ.175 பங்கஜா.கஸ்தூரி,175.0
p.kasthuri herbal soap set Rs.97 , Rs.97 p.kasthuri herbal soap set,97.0
p.kasthuri kaveri soapsetRs.105,Rs.105p.kasthuri kaveri soapset,105.0
p.k.orthoherp Rs.130,Rs.130 p.k.orthoherp,130.0
p.k.orthoherp Rs.45,p.k.orthoherp Rs.45,45.0
vivel aloevera Rs.35,vivel aloevera Rs.35,35.0
karuda naattub ponni sippam,கருடா பொன்னி சிப்பம்,1799.0
p.k.orthoherp oil  Rs.110,p.k.orthoherp oil  Rs.110,110.0
colgate strong Rs.20 dazen,colgate strong Rs.20 dazen,240.0
munch Rs.5 box 32ps ,munch Rs.5 box 32ps ,160.0
marie gold Rs.30 box,Rs.30 மேரி கோல்ட்box,900.0
medimix clacic Rs.30,Rs.30 medimix clacic ,30.0
medimix sandal Rs.32,Rs.32 medimix sandal ,32.0
bru Rs.2,Rs.2 புரூ காபி தூள் ,2.0
marie light Rs.10 dozen,Rs.10மேரிலைட் டசன்,120.0
chakravrthi powder Rs.5 saram,chakravrthi powder Rs.5 saram,50.0
chakravrthi soap Rs.10,chakravrthi soap Rs.10,10.0
chakravrthi soap Rs.10(y)dozen,chakravrthi soap Rs.10(y)dozen,120.0
chakravarthi soap Rs.10(b)dozen,chakravarthi soap Rs.10(b)dozen,120.0
chakravarthi soap Rs.10.y.box,chakravarthi soap Rs.10.y.box,600.0
chakravarthi soap Rs.10.b.box,chakravarthi soap Rs.10.b.box,600.0
dairymilk Rs.45,Rs.45 டைரிமில்க்,45.0
chandrika soap Rs.29,Rs.29 சந்திரிகா சோப்,29.0
sprite 750ml (1k),sprite 750ml (1k),960.0
nei aachi 50ml,50ml ஆச்சி நெய்,52.0
VVD gold coco.oil 100ml pkt,100ml VVD lite தே.எண்ணெய் pkt,55.0
mittaiye powder(o&r) jar,mittaiye powder(o&r) jar,50.0
carry bag (13*16)white,கேரி பேகஂ (13*16)white,20.0
chikkan masala 100gm,100gm சக்தி சிக்கன் மசலா ,55.0
avt Rs.1(pai),Rs.1 AVT (பை),100.0
bullet nunmber.1 sippam,No.1புல்லெட் பச்ச  அரிசி ,80.0
computer sambrani suganthi,computer sambrani suganthi,18.0
samBrani cup suganthi Rs.43, Rs.43 சுகந்தி கப் சாம்பராணி,43.0
cantyman jar Rs.100,cantyman jar Rs.100,100.0
nandhi kurunai sippam,நந்தி குருணை சிப்பம்,700.0
vanilla ice cream 500ml,vanilla ice cream 500ml,120.0
karuvaadu attai,கருவாடு அட்டை,100.0
kuliyal manjal kg,kg kuliyal manjal ,200.0
kothumai muzhusu,கோதுமை முழுசு,60.0
muzhu ulunthu,முழு உளுந்து,150.0
samathuva kuchi 1kattu,சமத்துவ குச்சி1கட்டு,35.0
thums up 250ml,250ml cd தம்ஸ் அப்,20.0
thums up 300ml tin,300ml தம்ஸ் அப் டின்,40.0
revive liquid stiffener Rs.37,Rs.37 revive liquid stiffener ,38.0
parachute 250ml jar,250ml பாராசூட்  jar,157.0
parachute 500ml jar,500ml பாராசூட் jar,290.0
orange red colour box,orange red கலர் box,60.0
kesari kalar 20pkt 1box,kesari kalar 20pkt 1box,60.0
orange red colour 1ps,(o&r)1psமிட்டாய்பவுடர்,3.0
orange red colour jar,orange red colour jar,50.0
lemon yellow colour 1ps,1psலெமன் மிட்டாய் பவுடர்,3.0
lemon yellow colour box,lemon yellow colour box,60.0
ragam badham 100g jar,100g jarராகம்.பாதாம்,160.0
ragam white grapes 100g jar,100g jarராகம்(வெ.திராட்சை),70.0
ragam black grapes 100g jar,100g jarராகம்(க.திராட்சை),95.0
ragam pista 100g jar,100g jarராகம்.பிஸ்தா,186.0
ragam gold 500g,500gராகம் கோல்டு,369.0
ragam shakthi 500g jar, 500g jarராகம் சக்தி,275.0
tide soup Rs.10,Rs.10டைடு சோப்,10.0
whisper (xl) Rs.95,Rs.95 விஸ்பர் (xl) ,95.0
whisper Regular Rs.90,விஸ்பர் Regular Rs.90,90.0
whisper ultra xl+ Rs.85,விஸ்பர் ultra xl+ Rs.85,85.0
gillete  guard Rs.105,gillete  guard Rs.105,105.0
whisper choice night xl Rs.45,whisper choice night xl Rs.45,50.0
bourn vitta 500g jar,500g BournVitta  jar,270.0
mountain dew Rs.20,mountain dew Rs.20,15.0
odonil Rs.58,Odonil 1pcs,58.0
natraj pencil Rs.40(10ps),natraj pencil Rs.40(10ps),40.0
surf excel powder Rs.3 saram, Rs.3 சரம் சர்ப் எக்சல் பவுடர் ,36.0
nool kandu(v)Rs.5(1kattu) pkt,nool kandu(v)Rs.5(1kattu) pkt,100.0
nool kandu(v)Rs.10(1kattu) pkt,Rs.10வெள்ள நூல்(1kattu) pkt,100.0
nool kandu(v)Rs.10.pkt,Rs.10வெள்ள நூல் pkt,100.0
vip hair color shampoo Rs.51 ,Rs.51 Vip Hair Color Shampoo,51.0
surf excel LIQ Rs.10,surf excel LIQ Rs.10,10.0
surf excel LIQ Rs.10 saram,surf excel LIQ Rs.10 saram,100.0
dove shampoo 150ml Rs.230,Rs.230dove shampoo 150ml ,230.0
manjal thool 50g saram,மஞ்சள்தூள்50g saram,200.0
milaguthool arumai 50g,மிளகுதூள் அருமை 50g,52.0
chaat masala Rs.65,ஏவரஸஂடஂ சாட் மசாலா,65.0
nandhi kurunai,நந்தி குருணை,28.0
sivappu Rs.5 saram,Rs.5 சிவப்பு saram,50.0
sivappu merun Rs.5 saram,Rs.5sivappu merun  saram,50.0
sivappu Rs.5(1kattu50ps),sivappu Rs.5(1kattu50ps),250.0
sivappu merun Rs.5(1kattu50ps),sivappu merun Rs.5(1kattu50ps),250.0
mountain dew Rs.35 tin,mountain dew Rs.35 tin,35.0
mydeen rs 10 pai,Rs.10.மைதீன் பை,70.0
winkin cow Rs.35,winkin cow Rs.35,35.0
kal uppu ayngaran1kg sippam,kal uppu ayngaran1kg sippam,300.0
milaguthool Rs.6 ps,milaguthool Rs.6 ps,6.0
oma water 5ps(1pai),5ps(1pai)ஓமவாட்டர்,100.0
himalaya neem soup,himalaya neem soup,56.0
bothroom brush,bothroom brush,100.0
yippee noodles Rs.14,Rs.14 yippee noodles ,14.0
paste foriengh,paste foriengh,1000.0
kal uppu sowmya 1sippam,கல் உப்பு சௌமியா சிப்பம்,300.0
chik shampoo black 80ml,80ml சிக் கருப்பு,52.0
chik shampoo jasmine80ml,80ml சிக் ஷாம்பு ஜாஸ்மின்,45.0
galaxy 5d steel nice broom ,galaxy 5d steel nice broom ,195.0
karuda rice kg,1kgகருடா பொன்னி ,60.0
more milaga Rs.5,Rs.5மோர்மிளகா,5.0
oil tvm sf 500ml box,oil tvm sf 500ml box,1800.0
oil tvm sf 500ml,oil tvm sf 500ml,100.0
oil daya palm 1ltr box,oil daya palm 1ltr box,1600.0
oil daya palm 1ltr,oil daya palm 1ltr,160.0
patti urukai Rs.2saram,Rs.2pattiஊறுகாய் 1சரம்,40.0
kills pain,kills pain,1000.0
bovonto 500ml,500ml போவோன்டொ,40.0
soodam 25g villai,25g வில்லை சூடம்,40.0
soodam villai Rs.10 pkt,Rs.10சூடம் வில்லை pkt,260.0
tata soulfull Rs.10 ps,tata soulfull Rs.10 ps,10.0
tata soulfull(12ps) Rs.10 saram,tata soulfull(12ps) Rs.10 saram,120.0
perumkayam lg 100G,100GLGகட்டிகாயம்,154.0
perumkayam lg katti 100gm,100gm LGகட்டிகாயம்,180.0
perumkayam thool lg 100g,100g.LGகாயத்தூள்,165.0
picle aachi 5kg jar,5kg ஆச்சி ஊறுகாய் ஜார்,400.0
slice 250ml,slice 250ml,20.0
slice 250ml 15rs,slice 250ml 15rs,15.0
dairymilk Rs.20 box,dairymilk Rs.20 box,800.0
kannan devan tea 250g,250g கணஂணனஂ தேவனஂ டீ,83.75
24 karot  puzhunkal kg,24காரட் புழுங்கல் kg,100.0
yardley laventer Rs.132,yardley laventer Rs.132,132.0
yardley rose Rs.132,yardley rose Rs.132,132.0
yardley red rose Rs.125,yardley red rose Rs.125,125.0
boro+ talc 50g Rs.47,boro+ talc 50g Rs.47,47.0
boro+ talc 150g Rs.120,boro+ talc 150g Rs.120,120.0
zandu palm 8ml Rs.40,ஜண்டு பாம் (R) 8ml,50.0
AAC nei RS 10,AAC nei RS 10,150.0
nei AAC RS 10,RS.10 AAC நெய் ,10.0
nei AAC RS 10 saram,Rs.10நெய்AAC சரம்,150.0
himalaya soap Rs.55,himalaya soap Rs.55,55.0
himalaya shampoo 100ml,100ml ஹிமாலயா சாம்பு ,95.0
dove shampoo 175ml Rs.190,dove shampoo 175ml Rs.190,190.0
iyarkai 50ml,50ml இயற்கை நல்லெண்ணெய்,15.0
iyarkai 50ml saram,50mlஇ.நல்லெண்ணெய் saram,150.0
himalaya toothpaste 40g,40g ஹிமாலயா toothpaste ,20.0
amulspray 500g tin,அமுல் ஸ்ப்ரே 500g tin,243.0
uni wash powder Rs.10,uni wash powder Rs.10,10.0
unity no.1(25kg sippam,Unity no1.பாஸ்மதி ரைஸ்25kg sippam,3200.0
marie gold Rs.35,Rs.35 மேரி கோல்ட்,35.0
power powder Rs.10,Rs.10 பவர் பவுடர்,10.0
power powder Rs.10 1ps,power powder Rs.10 1ps,10.0
power powder Rs.10.saram12ps,power powder Rs.10.saram12ps,120.0
power powder 1/2kg,500g பவர் பவுடர்,52.0
uni wash powder Rs.10.saram,uni wash powder Rs.10.saram,60.0
maaza 1.25ltr,1.25ltr Maaza ,75.0
limca 750ml Rs.40,limca 750ml Rs.40,40.0
fanta 750ml Rs.40,fanta 750ml Rs.40,40.0
vathi zohri Rs.25,Rs.25 zohri வத்தி,25.0
ponds dream Rs.340, Rs.340 பாண்ட்ஸ் ட்ரிம்,340.0
double beans ,டபுள் பின்ஸ்,200.0
nool con Rs.50,Rs.50கோன் நூல்,50.0
ajay tooth brush,அஜய் டூத் பிரஷ்,20.0
mydeen Rs.5 pai,Rs.5.மைதீன் பை,30.0
arial 1kg,ஏரியல் பவுடர் 1kg,332.0
maitha kamathenu 50kg,காமதேனு மைதா 50kg,1800.0
 oil sunlite 1/2ltr, oil sunlite 1/2ltr,100.0
surf LIQ(t&l)1ltr Rs.210,surf LIQ(t&l)1ltr Rs.210,210.0
soodam 10 villa ps,Rs.10வில்லை சூடம்ps,10.0
cocacola 1.25ml,cocacola 1.25ml,65.0
kuperan paLmolin 400ml box,kuperan paLmolin 400ml box,1200.0
idli arisi kg,இட்லி அரிசி kg,40.0
sprite 1.25,sprite 1.25,65.0
arasan soap Rs.16 box,Rs.16 அரசன் சோப் box,960.0
pepsodent 200g Rs.97,pepsodent 200g Rs.97,97.0
ajay tooth brush saram ,அஜய் டூத் பிரஷ்சரம்,240.0
rusk britanniya Rs.10 dozen,rusk britanniya Rs.10 dozen,120.0
oral b brush Rs.35,Rs.35 ஓரல் பி பிரஷ்,35.0
anna poornaa atta 5kg,5kgஅண்ணபூர்ணா ஆட்டா,285.0
patti urukai garlic Rs.2saram,Rs.2பா.பூண்டு.ஊறுகாய் 1சரம்,40.0
patti urukai ginger Rs.2saram,Rs.2பா. இஞ்சி.ஊறுகாய் 1சரம்,40.0
patti picle chilli Rs.2saram,Rs.2பா.மிளகாய்.ஊறுகாய் 1சரம்,40.0
patti picle tomato Rs.2saram,Rs.2பா.தக்காளி.ஊறுகாய் 1சரம்,40.0
patti picle mango Rs.2saram,Rs.2பா.மாங்கா.ஊறுகாய் 1சரம்,20.0
patti picle lemon Rs.2saram,Rs.2பா.லெமன்.ஊறுகாய் 1சரம்,40.0
margo set Rs.140,margo set Rs.140,140.0
margo set Rs.136,margo set Rs.136,136.0
super vasmol 50ml,super vasmol 50ml,35.0
palcova Rs.60 jar,Rs.60பால்கோவா jar,60.0
milaguthool Rs.12,Rs.12மிளகுதூள்,12.0
nature power soap herbal,நேச்சர் பவர்.சோ Herbal,45.0
kopiko pkt Rs.115,கோபிகோ சாக்லேட் pkt,105.0
colgate strong 100g Rs.63,Rs.63 கோல்கேட் ஸ்ட்ராங்100g,63.0
veet Rs.80*30g,Rs.80 வீட் 30g,89.0
black phenyl 450ml,black phenyl 450ml,60.0
milk SHAKE,milk SHAKE,40.0
thani milagai thool Rs.5,Rs.5 தனி மிளகாய் தூள்,5.0
arial (F.l)2.5ltr,ஏரியல்(F.l)2.5ltr,525.0
Flair Rs.55,Flair Rs.55,55.0
ponds cream Rs.10(12ps) saram,ponds cream Rs.10(12ps) saram,120.0
amurthanjan  pain balm Rs.40 ,Rs.40 அமுர்தான்ஜன்pain balm,40.0
amurthanjan Rollon Rs.35,அமுர்தான்ஜன்Rollon Rs.35,35.0
marie gold Rs.18 box,Rs.18 மேரி கோல்ட்box,900.0
marie gold Rs.18,Rs.18மேரி கோல்ட்,18.0
ponds sandal Rs.72,50g பாண்ட்ஸ் சண்டல் பவுடர்,72.0
ponds dream Rs.215,Rs.215 பாண்ட்ஸ் ட்ரிம்,215.0
puliyothara podi Rs.10,Rs.10 ஆச்சி புளியோதர பொடி,10.0
dettol bottle 200ml og,dettol bottle 200ml og,90.0
scruper Rs.37,scruper Rs.37,37.0
mushroom,200g காளான்,75.0
manthara ilai,manthara ilai,200.0
seeval 10ps,seeval 10ps,10.0
ravai elite 500g,500g எலைட் ரவை,49.0
poo nool,பூ நூல்,15.0
colgate strong Rs.10 dozen,colgate strong Rs.10 dozen,120.0
tide soup set,tide soup set,30.0
Frooty 300ML,300ml ப்ரூட்டி,20.0
Frooty 300ml ps,Frooty 300ml ps,20.0
masala atta 10 ps,Rs.10 பட்ட கிராம்பு 1ps,10.0
dettol bottle 200ml handwash og,dettol bottle 200ml handwash og,90.0
lakshmi gold green sippam,லஷ்மி கோல்ட்  சிப்பம்,1200.0
head & shoulder Rs.89,head & shoulder Rs.89,89.0
pen Rs.3,pen Rs.3,4.0
hamam soapRs.63,hamam soapRs.63,65.0
hamam 150g set Rs.187,ஹமாம் சோப்100g set Rs.140,140.0
maggi noodles Rs.27,maggi noodles Rs.27,27.0
kallaparuppu no.2,No.2 கல்லபருப்பு,100.0
oil fortune 1ltr,1ltr பார்ச்சூன் ஆயில்,140.0
aswini 90ml,90ml அஸ்வினி ஆயில்,76.0
aswini 45ml,45ml அஸ்வினி ஆயில்,40.0
aswini 360ml,360ml அஸ்வினி ஆயில்,283.0
kesavardhini 25ml,25ml கேசவர்த்தினி,59.0
water box 500ml 30ps 1box,500ml வாட்டர் 30ps 1பாக்ஸ்,200.0
mat metro (s),mat metro (s),60.0
mat paniyan,மேட் பனியன்,50.0
mat padayapa,mat padayapa,55.0
mat s.s,mat s.s,65.0
mat jilebi,mat jilebi,60.0
mat leather cotten,mat leather cotten,60.0
mat super line,mat super line,55.0
mat nice box,mat nice box,65.0
oil sunland 5.ltr gane,5L சன்லான்ட் cane,1094.0
suriya gold kichadi ponni rice(25),suriya gold kichadi ponni rice,1600.0
oil gold king 1ltr box,oil gold king 1ltr box,2000.0
milk biscuit Rs.35,Rs.35 மில்க் பிஸ்கட்,35.0
dabur amla hair.oil 45ml ,dabur amla hair.oil 45ml ,20.0
dabur amla hair.oil 90ml ,90+20ml டாபர் அம்லா ஆயில்,50.0
odonil block(3+1)setRs.172,odonil block(3+1)setRs.172,172.0
milagai naattu kg,kg நாட்டு மிளகாய்,260.0
milagai நாட்டு மிளகாய் kg,kg நாட்டு மிளகாய்,260.0
manjal thool 200g,200gமஞ்சள்தூள்,68.0
vasmol jasmine 200ml,200ml வாஸ்மோல் ஜெஸ்மின்,75.0
muzhu sampa kothuma kg,muzhu sampa kothuma kg,150.0
rava sampa elite Rs.48,Rs.48கோதுமை ரவா elite,48.0
meera herbal 80g Rs.75,Rs.75மீரா சீக்காய்.80g ,75.0
medimix santol Rs.55,medimix santol Rs.55,60.0
vathi maya Rs.2 dozen,vathi maya Rs.2 dozen,24.0
henko powder Rs.10 6ps saram,henko powder Rs.10 6ps saram,60.0
pril liguid Rs.20 ps,pril liguid Rs.20 ps,20.0
dettol soap cool Rs.63,dettol soap cool Rs.63,63.0
indica easy Rs.30,Rs.30 இன்டிகா ஈஸி,30.0
milk bikis clasic Rs.10,Rs.10 classic மில்க் பிஸ்கட்,10.0
milk bikis clasic Rs.10 dozen,milk bikis clasic Rs.10 dozen,120.0
oreo Rs.5 ps,oreo Rs.5 ps,5.0
oil sunlite 1/2ltr,oil sunlite 1/2ltr,100.0
z spray Rs.130,z spray Rs.130,130.0
AK vella ponni sippam,AK.வெள்ளபொன்னி சிப்பம்26,1800.0
arasan soap Rs.16,Rs.16 அரசன் சோப்,16.0
tide 500g lemon,tide 500g lemon,40.0
lizol rose 2ltr,lizol rose 2ltr,380.0
kalla mittai Rs.2 jar,Rs.2 கள்ளமிட்டாய் jar,150.0
munthri No.2 ,No.2 முந்திரி  ,800.0
theepam yennaie 1/2ltr pk,theepam yennaie 1/2ltr pk,95.0
hamam soapRs.65,Rs.65ஹமாம் சோப்,65.0
sukku coffiee rajam 100g,100g ராஜன் சுக்கு காப்பி pkt,53.0
sukku coffiee rajam 200g,sukku coffiee rajam 200g,90.0
close up paste 150g,Close Up Paste 150g,129.0
chakra gold 500g,500g சக்ரா கோல்டு premium,348.0
cinthol og 4ps150g set ,150g*4p சிந்தால் (og)  set ,282.0
dove soap pink Rs.82,100g டவ் சோப்பு pink ,82.0
dove soap green Rs.70,Rs.70டவ் சோப்பு green,70.0
dove soap blue Rs.64,Rs.64டவ் சோப்பு blue,64.0
pears Rs.60 blue,Rs.60பியர்ஸ் நீலம்,62.0
